run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-severe-escalation,outcome-managed-stalemate,ever-managed-stalemate,ms-share,ms-duration,first-managed-stalemate-tick,military-deescalation-window-flag,awrp-current,risk-premium,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
184,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3184132686500159,1,0.32224485385718155,0.97,112.714389343792,Selective_Passage,0,0,1,0.02666666666666667,4,95,0,0.39766821751613846,42.71438934379201,2.5,1,1,0,0,0,0
185,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14500000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.346474577704035,1,0,0.98,107.85631140545733,Selective_Passage,0,0,0,0.013333333333333334,2,-1,0,0.3667779465996235,37.85631140545733,2.5,1,1,0,0,0,0
186,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3026216411290962,1,0.900109043641599,0.98,112.79853701199623,Selective_Passage,0,0,0,0.02,3,-1,0,0.3765177347606813,42.79853701199623,2.5,1,1,0,0,0,0
187,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.13000000000000003,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31359391950168397,1,0.03465952170892557,0.97,114.72954242940561,Selective_Passage,0,0,0,0,0,-1,0,0.3880974962167779,44.72954242940561,2.5,1,1,0,0,0,0
188,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,92,0.9533333333333334,0.04666666666666667,0,0,0.04666666666666667,0.31,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32745542119499327,1,0,0.97,109.82358013660254,Selective_Passage,0,0,0,0,0,-1,0,0.38556370816863983,39.82358013660255,2.5,1,1,0,0,0,0
189,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000005,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29958560722373095,0.9785210406354178,0.1568434627856217,0.9199999999999999,111.36224662600037,Selective_Passage,0,0,0,0,0,-1,0,0.37839312470234976,41.36224662600038,2.5,1,1,0,0,0,0
190,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.015,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2655927976893837,0.5105160506660407,0.8766159695690704,0.98,124.35491336321002,Ground_War,1,0,0,0.07142857142857142,1,-1,0,0.5732247025880591,54.354913363210024,2.5,1,1,0,0,0,1
191,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.33354230324059964,1,0,0.97,108.56323785487595,Selective_Passage,0,0,1,0.02,3,87,0,0.3676122016533352,38.56323785487595,2.5,1,1,0,0,0,0
192,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3131179415249084,1,0.07178948534814095,0.97,113.08594848935505,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3764927411630531,43.085948489355054,2.5,1,1,0,0,0,0
193,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,13,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3247918921163181,0.78755535862819,0.485655068189631,0.97,113.7329269842792,Accidental_War,1,0,0,0.07692307692307693,1,-1,0,0.5381562808461453,43.73292698427921,2.5,1,1,0,0,0,0
